model,case,pairs,roc_auc,accuracy,threshold,far,frr
baseline_full,masked-masked,627,0.8577716220375501,0.7990430622009569,0.43954411149024963,0.15789473684210525,0.23684210526315788
gated_lower_blackout,masked-masked,627,0.8424540884374678,0.7751196172248804,0.41263511776924133,0.24561403508771928,0.20760233918128654
gated_lower_blur,masked-masked,627,0.851933928388222,0.7926634768740032,0.40670332312583923,0.17543859649122806,0.23391812865497075
gated_upper_only,masked-masked,627,0.8483123012208884,0.7942583732057417,0.3982321619987488,0.23859649122807017,0.1783625730994152
pair_head_all_cases,masked-masked,627,0.8910023597004206,0.8165869218500797,0.00017568777548149228,0.3017543859649123,0.0847953216374269
pair_head_masked_cases_only,masked-masked,627,0.8910023597004206,0.8165869218500797,0.00017568777548149228,0.3017543859649123,0.0847953216374269
baseline_full,masked-unmasked,1017,0.799865255202001,0.7256637168141593,0.3693291246891022,0.1670061099796334,0.3745247148288973
gated_lower_blackout,masked-unmasked,1017,0.7865766302958964,0.7325467059980334,0.4456564486026764,0.1690427698574338,0.3593155893536122
gated_lower_blur,masked-unmasked,1017,0.7985565269915513,0.7413962635201573,0.3175176978111267,0.2769857433808554,0.2414448669201521
gated_upper_only,masked-unmasked,1017,0.7886249061045588,0.7345132743362832,0.3862302899360657,0.2545824847250509,0.27566539923954375
pair_head_all_cases,masked-unmasked,1017,0.8214050629970651,0.7453294001966568,0.0012446257751435041,0.3258655804480652,0.188212927756654
pair_head_masked_cases_only,masked-unmasked,1017,0.8214050629970651,0.7453294001966568,0.0012446257751435041,0.3258655804480652,0.188212927756654
baseline_full,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
gated_lower_blackout,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
gated_lower_blur,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
gated_upper_only,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
pair_head_all_cases,unmasked-unmasked,1880,0.9556551647645217,0.8856382978723404,0.7195961475372314,0.09513742071881606,0.13383297644539616
pair_head_masked_cases_only,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
