model,case,pairs,roc_auc,accuracy,threshold,far,frr
adapted_baseline_full,masked-masked,627,0.8779624499846108,0.8277511961722488,0.16026365756988525,0.13333333333333333,0.2046783625730994
adapted_gated_lower_blackout,masked-masked,627,0.8475325741253718,0.8022328548644339,0.17447607219219208,0.15087719298245614,0.23684210526315788
adapted_gated_lower_blur,masked-masked,627,0.8617625936185493,0.8197767145135566,0.1549525260925293,0.15087719298245614,0.2046783625730994
adapted_gated_upper_only,masked-masked,627,0.8657227864984097,0.810207336523126,0.1775302141904831,0.13333333333333333,0.23684210526315788
adapted_pair_head_all_cases,masked-masked,627,0.8393710885400636,0.7719298245614035,0.9108194708824158,0.0912280701754386,0.34210526315789475
adapted_pair_head_masked_cases_only,masked-masked,627,0.8393710885400636,0.7719298245614035,0.9108194708824158,0.0912280701754386,0.34210526315789475
raw_baseline_full,masked-masked,627,0.8577716220375501,0.7990430622009569,0.43954411149024963,0.15789473684210525,0.23684210526315788
raw_gated_lower_blackout,masked-masked,627,0.8424540884374678,0.7751196172248804,0.41263511776924133,0.24561403508771928,0.20760233918128654
raw_gated_lower_blur,masked-masked,627,0.851933928388222,0.7926634768740032,0.40670332312583923,0.17543859649122806,0.23391812865497075
raw_gated_upper_only,masked-masked,627,0.8483123012208884,0.7942583732057417,0.3982321619987488,0.23859649122807017,0.1783625730994152
raw_pair_head_all_cases,masked-masked,627,0.8910023597004206,0.8165869218500797,0.00017568777548149228,0.3017543859649123,0.0847953216374269
raw_pair_head_masked_cases_only,masked-masked,627,0.8910023597004206,0.8165869218500797,0.00017568777548149228,0.3017543859649123,0.0847953216374269
adapted_baseline_full,masked-unmasked,1017,0.726824281941874,0.6705998033431662,0.021620629355311394,0.42769857433808556,0.2376425855513308
adapted_gated_lower_blackout,masked-unmasked,1017,0.7185498671911904,0.6666666666666666,0.014343218877911568,0.43380855397148677,0.23954372623574144
adapted_gated_lower_blur,masked-unmasked,1017,0.7213996422293294,0.6735496558505408,0.026049979031085968,0.37474541751527496,0.2813688212927757
adapted_gated_upper_only,masked-unmasked,1017,0.7262202535370509,0.6764995083579154,0.013691402971744537,0.4215885947046843,0.23193916349809887
adapted_pair_head_all_cases,masked-unmasked,1017,0.7367559028288663,0.6814159292035398,0.020861130207777023,0.2729124236252546,0.3612167300380228
adapted_pair_head_masked_cases_only,masked-unmasked,1017,0.7367559028288663,0.6814159292035398,0.020861130207777023,0.2729124236252546,0.3612167300380228
raw_baseline_full,masked-unmasked,1017,0.799865255202001,0.7256637168141593,0.3693291246891022,0.1670061099796334,0.3745247148288973
raw_gated_lower_blackout,masked-unmasked,1017,0.7865766302958964,0.7325467059980334,0.4456564486026764,0.1690427698574338,0.3593155893536122
raw_gated_lower_blur,masked-unmasked,1017,0.7985565269915513,0.7413962635201573,0.3175176978111267,0.2769857433808554,0.2414448669201521
raw_gated_upper_only,masked-unmasked,1017,0.7886249061045588,0.7345132743362832,0.3862302899360657,0.2545824847250509,0.27566539923954375
raw_pair_head_all_cases,masked-unmasked,1017,0.8214050629970651,0.7453294001966568,0.0012446257751435041,0.3258655804480652,0.188212927756654
raw_pair_head_masked_cases_only,masked-unmasked,1017,0.8214050629970651,0.7453294001966568,0.0012446257751435041,0.3258655804480652,0.188212927756654
adapted_baseline_full,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
adapted_gated_lower_blackout,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
adapted_gated_lower_blur,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
adapted_gated_upper_only,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
adapted_pair_head_all_cases,unmasked-unmasked,1880,0.9569629364709291,0.8888297872340426,0.020924566313624382,0.13847780126849896,0.0835117773019272
adapted_pair_head_masked_cases_only,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
raw_baseline_full,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
raw_gated_lower_blackout,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
raw_gated_lower_blur,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
raw_gated_upper_only,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
raw_pair_head_all_cases,unmasked-unmasked,1880,0.9556551647645217,0.8856382978723404,0.7195961475372314,0.09513742071881606,0.13383297644539616
raw_pair_head_masked_cases_only,unmasked-unmasked,1880,0.9687408042880877,0.9101063829787234,0.5151875615119934,0.06659619450317125,0.11349036402569593
