model,case,pairs,roc_auc,accuracy,threshold,far,frr
adaptive_logreg_global,masked-masked,43,0.7835497835497836,0.7441860465116279,0.5306160796278864,0.09523809523809523,0.4090909090909091
adaptive_logreg_per_case,masked-masked,43,0.7813852813852814,0.7441860465116279,0.1379076522191507,0.38095238095238093,0.13636363636363635
baseline_facenet_vggface2,masked-masked,43,0.7878787878787878,0.7441860465116279,0.5025270581245422,0.09523809523809523,0.4090909090909091
case_gated_best_raw,masked-masked,43,0.7857142857142857,0.7441860465116279,0.256025105714798,0.38095238095238093,0.13636363636363635
lower_blackout_facenet_vggface2,masked-masked,43,0.7857142857142857,0.7441860465116279,0.256025105714798,0.38095238095238093,0.13636363636363635
lower_blur_facenet_vggface2,masked-masked,43,0.7900432900432901,0.7674418604651163,0.2552694082260132,0.38095238095238093,0.09090909090909091
mask_presence_gated_blackout,masked-masked,43,0.7857142857142857,0.7441860465116279,0.256025105714798,0.38095238095238093,0.13636363636363635
mask_presence_gated_blur,masked-masked,43,0.7900432900432901,0.7674418604651163,0.2552694082260132,0.38095238095238093,0.09090909090909091
mask_presence_gated_upper,masked-masked,43,0.7294372294372294,0.7209302325581395,0.22381530702114105,0.47619047619047616,0.09090909090909091
upper_face_facenet_vggface2,masked-masked,43,0.7294372294372294,0.7209302325581395,0.22381530702114105,0.47619047619047616,0.09090909090909091
adaptive_logreg_global,masked-unmasked,85,0.9224806201550387,0.8705882352941177,0.5580582450095342,0.21428571428571427,0.046511627906976744
adaptive_logreg_masked_unmasked_only,masked-unmasked,85,0.8693244739756371,0.8235294117647058,0.4906231741335938,0.30952380952380953,0.046511627906976744
adaptive_logreg_per_case,masked-unmasked,85,0.8693244739756371,0.8235294117647058,0.4906231741335938,0.30952380952380953,0.046511627906976744
baseline_facenet_vggface2,masked-unmasked,85,0.9274640088593576,0.8823529411764706,0.30334141850471497,0.16666666666666666,0.06976744186046512
case_gated_best_raw,masked-unmasked,85,0.9274640088593576,0.8823529411764706,0.30334141850471497,0.16666666666666666,0.06976744186046512
lower_blackout_facenet_vggface2,masked-unmasked,85,0.9407530454042081,0.8823529411764706,0.3578495383262634,0.16666666666666666,0.06976744186046512
lower_blur_facenet_vggface2,masked-unmasked,85,0.929125138427464,0.8588235294117647,0.3106870651245117,0.19047619047619047,0.09302325581395349
mask_presence_gated_blackout,masked-unmasked,85,0.9407530454042081,0.8823529411764706,0.3578495383262634,0.16666666666666666,0.06976744186046512
mask_presence_gated_blur,masked-unmasked,85,0.929125138427464,0.8588235294117647,0.3106870651245117,0.19047619047619047,0.09302325581395349
mask_presence_gated_upper,masked-unmasked,85,0.8776301218161683,0.8352941176470589,0.3883659839630127,0.047619047619047616,0.27906976744186046
upper_face_facenet_vggface2,masked-unmasked,85,0.8776301218161683,0.8352941176470589,0.3883659839630127,0.047619047619047616,0.27906976744186046
adaptive_logreg_global,unmasked-unmasked,155,0.9568620919387075,0.9096774193548387,0.4703393182674478,0.06329113924050633,0.11842105263157894
adaptive_logreg_per_case,unmasked-unmasked,155,0.9563624245103264,0.9096774193548387,0.4163211119859306,0.08860759493670886,0.09210526315789473
baseline_facenet_vggface2,unmasked-unmasked,155,0.9543637574950034,0.896774193548387,0.48704418540000916,0.06329113924050633,0.14473684210526316
case_gated_best_raw,unmasked-unmasked,155,0.9543637574950034,0.896774193548387,0.48704418540000916,0.06329113924050633,0.14473684210526316
lower_blackout_facenet_vggface2,unmasked-unmasked,155,0.9117255163224517,0.8516129032258064,0.4013461172580719,0.20253164556962025,0.09210526315789473
lower_blur_facenet_vggface2,unmasked-unmasked,155,0.8865756162558294,0.8387096774193549,0.41843774914741516,0.22784810126582278,0.09210526315789473
mask_presence_gated_blackout,unmasked-unmasked,155,0.9543637574950034,0.896774193548387,0.48704418540000916,0.06329113924050633,0.14473684210526316
mask_presence_gated_blur,unmasked-unmasked,155,0.9543637574950034,0.896774193548387,0.48704418540000916,0.06329113924050633,0.14473684210526316
mask_presence_gated_upper,unmasked-unmasked,155,0.9543637574950034,0.896774193548387,0.48704418540000916,0.06329113924050633,0.14473684210526316
upper_face_facenet_vggface2,unmasked-unmasked,155,0.8252831445702864,0.7741935483870968,0.40451860427856445,0.189873417721519,0.2631578947368421
