model,case,pairs,roc_auc,accuracy,threshold,far,frr
arcface_finetune_full,masked-masked,254,0.8120930232558139,0.7637795275590551,0.2751757800579071,0.05426356589147287,0.424
arcface_finetune_masked_images_only,masked-masked,254,0.8120930232558139,0.7637795275590551,0.2751757800579071,0.05426356589147287,0.424
arcface_finetune_masked_pairs_only,masked-masked,254,0.8120930232558139,0.7637795275590551,0.2751757800579071,0.05426356589147287,0.424
baseline_full,masked-masked,254,0.8207751937984497,0.7637795275590551,0.480984091758728,0.13178294573643412,0.344
arcface_finetune_full,masked-unmasked,419,0.6922077922077922,0.6515513126491647,0.10094422101974487,0.1761904761904762,0.5215311004784688
arcface_finetune_masked_images_only,masked-unmasked,419,0.6895192526771473,0.6420047732696897,-0.06263921409845352,0.4238095238095238,0.291866028708134
arcface_finetune_masked_pairs_only,masked-unmasked,419,0.6922077922077922,0.6515513126491647,0.10094422101974487,0.1761904761904762,0.5215311004784688
baseline_full,masked-unmasked,419,0.7453178400546822,0.6968973747016707,0.32704466581344604,0.3047619047619048,0.3014354066985646
arcface_finetune_full,unmasked-unmasked,765,0.9503677978615768,0.8875816993464052,0.33993709087371826,0.07692307692307693,0.14690721649484537
arcface_finetune_masked_images_only,unmasked-unmasked,765,0.9667819738029478,0.9045751633986928,0.4969838261604309,0.07427055702917772,0.11597938144329897
arcface_finetune_masked_pairs_only,unmasked-unmasked,765,0.9667819738029478,0.9045751633986928,0.4969838261604309,0.07427055702917772,0.11597938144329897
baseline_full,unmasked-unmasked,765,0.9667819738029478,0.9045751633986928,0.4969838261604309,0.07427055702917772,0.11597938144329897
