model,case,pairs,roc_auc,accuracy,threshold,far,frr
baseline_full,masked-masked,110,0.8297435897435897,0.7727272727272727,0.43390440940856934,0.13333333333333333,0.2923076923076923
gated_blackout_all_mask_pairs,masked-masked,110,0.8082051282051281,0.7818181818181819,0.5318076610565186,0.022222222222222223,0.35384615384615387
mean_shift_blackout_masked_only,masked-masked,110,0.8123076923076922,0.7818181818181819,0.5262096524238586,0.1111111111111111,0.2923076923076923
mean_shift_full_masked_only,masked-masked,110,0.8311111111111111,0.7818181818181819,0.5269696116447449,0.1111111111111111,0.2923076923076923
orthogonal_blackout_masked_only,masked-masked,110,0.8082051282051281,0.7818181818181819,0.5318076610565186,0.022222222222222223,0.35384615384615387
orthogonal_full_masked_only,masked-masked,110,0.8297435897435897,0.7727272727272727,0.4339044392108917,0.13333333333333333,0.2923076923076923
ridge_blackout_masked_only,masked-masked,110,0.851965811965812,0.8272727272727273,0.9307369247819932,0.3111111111111111,0.07692307692307693
ridge_full_masked_only,masked-masked,110,0.8393162393162392,0.7818181818181819,0.9255435456792831,0.35555555555555557,0.12307692307692308
baseline_full,masked-unmasked,206,0.7644875820725092,0.7233009708737864,0.31545549631118774,0.23893805309734514,0.3225806451612903
gated_blackout_all_mask_pairs,masked-unmasked,206,0.7346084308687791,0.7087378640776699,0.3317893445491791,0.21238938053097345,0.3870967741935484
mean_shift_blackout_masked_only,masked-unmasked,206,0.7498334760681321,0.7281553398058253,0.43493717908859253,0.1504424778761062,0.41935483870967744
mean_shift_full_masked_only,masked-unmasked,206,0.7775240270244552,0.7378640776699029,0.4437326192855835,0.1592920353982301,0.3870967741935484
orthogonal_blackout_masked_only,masked-unmasked,206,0.7519269197830432,0.7233009708737864,0.4215286672115326,0.11504424778761062,0.4731182795698925
orthogonal_full_masked_only,masked-unmasked,206,0.77152916547721,0.7378640776699029,0.3765808045864105,0.22123893805309736,0.3118279569892473
ridge_blackout_masked_only,masked-unmasked,206,0.7189076030069464,0.7135922330097088,0.5438256863486937,0.25663716814159293,0.3225806451612903
ridge_full_masked_only,masked-unmasked,206,0.7187172899419545,0.6893203883495146,0.5434966609462258,0.2920353982300885,0.3333333333333333
baseline_full,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.45244187116622925,0.12105263157894737,0.0427807486631016
gated_blackout_all_mask_pairs,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.45244187116622925,0.12105263157894737,0.0427807486631016
mean_shift_blackout_masked_only,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.45244187116622925,0.12105263157894737,0.0427807486631016
mean_shift_full_masked_only,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.45244187116622925,0.12105263157894737,0.0427807486631016
orthogonal_blackout_masked_only,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.45244187116622925,0.12105263157894737,0.0427807486631016
orthogonal_full_masked_only,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.45244187116622925,0.12105263157894737,0.0427807486631016
ridge_blackout_masked_only,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.45244187116622925,0.12105263157894737,0.0427807486631016
ridge_full_masked_only,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.45244187116622925,0.12105263157894737,0.0427807486631016
