model,case,pairs,roc_auc,accuracy,threshold,far,frr
baseline_facenet_full,masked-masked,260,0.8432983508245877,0.7769230769230769,0.3004481792449951,0.3652173913043478,0.1103448275862069
elasticface_arc_aug,masked-masked,260,0.8038980509745127,0.7884615384615384,0.17360836267471313,0.0782608695652174,0.31724137931034485
maskinv_hg,masked-masked,260,0.7903448275862069,0.7846153846153846,0.17389725148677826,0.08695652173913043,0.31724137931034485
maskinv_lg,masked-masked,260,0.769055472263868,0.75,0.13797365128993988,0.10434782608695652,0.36551724137931035
baseline_facenet_full,masked-unmasked,437,0.7964811475066058,0.7299771167048055,0.3118366301059723,0.24778761061946902,0.2938388625592417
elasticface_arc_aug,masked-unmasked,437,0.8723943085263244,0.8192219679633868,0.16530351340770721,0.03982300884955752,0.33175355450236965
maskinv_hg,masked-unmasked,437,0.8662923982664374,0.8283752860411899,0.14135757088661194,0.084070796460177,0.26540284360189575
maskinv_lg,masked-unmasked,437,0.8598332339659675,0.8306636155606407,0.1273737996816635,0.084070796460177,0.26066350710900477
baseline_facenet_full,unmasked-unmasked,769,0.96714558220707,0.9102730819245773,0.5000671744346619,0.09162303664921466,0.08785529715762273
elasticface_arc_aug,unmasked-unmasked,769,0.9640336134453782,0.9206762028608583,0.19343301653862,0.03926701570680628,0.11886304909560723
maskinv_hg,unmasked-unmasked,769,0.9570801033591731,0.9076723016905072,0.20988363027572632,0.060209424083769635,0.12403100775193798
maskinv_lg,unmasked-unmasked,769,0.9598468992248063,0.9141742522756827,0.20835334062576294,0.041884816753926704,0.12919896640826872
