model,case,pairs,roc_auc,accuracy,threshold,far,frr
ensemble_disagreement_penalty_0.10,masked-masked,110,0.8263247863247865,0.7727272727272727,0.4107559468181939,0.17777777777777778,0.26153846153846155
ensemble_disagreement_penalty_0.25,masked-masked,110,0.8252991452991454,0.7727272727272727,0.41887875129681623,0.15555555555555556,0.27692307692307694
ensemble_disagreement_penalty_0.50,masked-masked,110,0.8235897435897436,0.7727272727272727,0.41013416508638456,0.15555555555555556,0.27692307692307694
ensemble_mean_safe,masked-masked,110,0.825982905982906,0.7818181818181819,0.48162318468093873,0.08888888888888889,0.3076923076923077
ensemble_top1_safe,masked-masked,110,0.8188034188034189,0.7727272727272727,0.5243563652038574,0.13333333333333333,0.2923076923076923
ensemble_top2_safe,masked-masked,110,0.8232478632478633,0.7727272727272727,0.5132758021354675,0.1111111111111111,0.3076923076923077
ensemble_top3_safe,masked-masked,110,0.829059829059829,0.7818181818181819,0.5070871512095133,0.08888888888888889,0.3076923076923077
gated_eye_band,masked-masked,110,0.8054700854700855,0.7636363636363637,0.5289171934127808,0.1111111111111111,0.3230769230769231
gated_lower_blackout,masked-masked,110,0.8082051282051281,0.7818181818181819,0.5317793488502502,0.022222222222222223,0.35384615384615387
gated_lower_blur,masked-masked,110,0.8164102564102564,0.7545454545454545,0.26295799016952515,0.4444444444444444,0.1076923076923077
gated_upper_only,masked-masked,110,0.8430769230769231,0.7909090909090909,0.29546502232551575,0.37777777777777777,0.09230769230769231
same_eye_band,masked-masked,110,0.8054700854700855,0.7636363636363637,0.5289171934127808,0.1111111111111111,0.3230769230769231
same_full,masked-masked,110,0.8297435897435897,0.7727272727272727,0.4339844882488251,0.13333333333333333,0.2923076923076923
same_lower_blackout,masked-masked,110,0.8082051282051281,0.7818181818181819,0.5317793488502502,0.022222222222222223,0.35384615384615387
same_lower_blur,masked-masked,110,0.8164102564102564,0.7545454545454545,0.26295799016952515,0.4444444444444444,0.1076923076923077
same_upper_only,masked-masked,110,0.8430769230769231,0.7909090909090909,0.29546502232551575,0.37777777777777777,0.09230769230769231
ensemble_disagreement_penalty_0.10,masked-unmasked,206,0.7595394423827195,0.7281553398058253,0.3530019695244962,0.23008849557522124,0.3225806451612903
ensemble_disagreement_penalty_0.25,masked-unmasked,206,0.7592539727852318,0.7281553398058253,0.4255268547169408,0.13274336283185842,0.44086021505376344
ensemble_disagreement_penalty_0.50,masked-unmasked,206,0.7595394423827195,0.7281553398058253,0.34332183026858326,0.20353982300884957,0.3548387096774194
ensemble_mean_safe,masked-unmasked,206,0.7593491293177277,0.7281553398058253,0.3603475511074066,0.23008849557522124,0.3225806451612903
ensemble_top1_safe,masked-unmasked,206,0.7622989818251023,0.7330097087378641,0.5025943517684937,0.1592920353982301,0.3978494623655914
ensemble_top2_safe,masked-unmasked,206,0.7628699210200781,0.7281553398058253,0.4808824360370636,0.168141592920354,0.3978494623655914
ensemble_top3_safe,masked-unmasked,206,0.7603958511751833,0.7378640776699029,0.47280145684878033,0.1415929203539823,0.40860215053763443
gated_eye_band,masked-unmasked,206,0.7150061851746122,0.6990291262135923,0.4518415033817291,0.23008849557522124,0.3870967741935484
gated_lower_blackout,masked-unmasked,206,0.7445998667808544,0.7378640776699029,0.4696105122566223,0.1415929203539823,0.40860215053763443
gated_lower_blur,masked-unmasked,206,0.7644875820725092,0.7330097087378641,0.3342198133468628,0.24778761061946902,0.2903225806451613
gated_upper_only,masked-unmasked,206,0.760871633837663,0.7233009708737864,0.400635302066803,0.23008849557522124,0.3333333333333333
same_eye_band,masked-unmasked,206,0.7150061851746122,0.6990291262135923,0.4518415033817291,0.23008849557522124,0.3870967741935484
same_full,masked-unmasked,206,0.7645827386050053,0.7233009708737864,0.31550735235214233,0.23893805309734514,0.3225806451612903
same_lower_blackout,masked-unmasked,206,0.7445998667808544,0.7378640776699029,0.4696105122566223,0.1415929203539823,0.40860215053763443
same_lower_blur,masked-unmasked,206,0.7644875820725092,0.7330097087378641,0.3342198133468628,0.24778761061946902,0.2903225806451613
same_upper_only,masked-unmasked,206,0.760871633837663,0.7233009708737864,0.400635302066803,0.23008849557522124,0.3333333333333333
ensemble_disagreement_penalty_0.10,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.4524654150009155,0.12105263157894737,0.0427807486631016
ensemble_disagreement_penalty_0.25,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.4524654150009155,0.12105263157894737,0.0427807486631016
ensemble_disagreement_penalty_0.50,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.4524654150009155,0.12105263157894737,0.0427807486631016
ensemble_mean_safe,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.4524654150009155,0.12105263157894737,0.0427807486631016
ensemble_top1_safe,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.4524654150009155,0.12105263157894737,0.0427807486631016
ensemble_top2_safe,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.4524654150009155,0.12105263157894737,0.0427807486631016
ensemble_top3_safe,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.4524654150009155,0.12105263157894737,0.0427807486631016
gated_eye_band,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.4524654150009155,0.12105263157894737,0.0427807486631016
gated_lower_blackout,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.4524654150009155,0.12105263157894737,0.0427807486631016
gated_lower_blur,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.4524654150009155,0.12105263157894737,0.0427807486631016
gated_upper_only,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.4524654150009155,0.12105263157894737,0.0427807486631016
same_eye_band,unmasked-unmasked,377,0.8861525471432593,0.8169761273209549,0.48179396986961365,0.21578947368421053,0.1497326203208556
same_full,unmasked-unmasked,377,0.9710385589642556,0.9177718832891246,0.4524654150009155,0.12105263157894737,0.0427807486631016
same_lower_blackout,unmasked-unmasked,377,0.9092034900084436,0.8620689655172413,0.48200100660324097,0.1631578947368421,0.11229946524064172
same_lower_blur,unmasked-unmasked,377,0.9305938643399942,0.8647214854111406,0.5016170740127563,0.11578947368421053,0.15508021390374332
same_upper_only,unmasked-unmasked,377,0.9034337179848017,0.830238726790451,0.5450247526168823,0.08947368421052632,0.25133689839572193
