model,case,pairs,roc_auc,accuracy,threshold,far,frr
baseline_full,masked-masked,254,0.8207751937984497,0.7637795275590551,0.48094528913497925,0.13178294573643412,0.344
gated_lower_blackout,masked-masked,254,0.7931782945736434,0.7637795275590551,0.40872618556022644,0.2248062015503876,0.248
gated_lower_blur,masked-masked,254,0.8057674418604652,0.7637795275590551,0.46934252977371216,0.13953488372093023,0.336
gated_upper_only,masked-masked,254,0.8146356589147287,0.7637795275590551,0.4204365015029907,0.20930232558139536,0.264
pair_head_all_cases,masked-masked,254,0.8128992248062016,0.7795275590551181,0.3157941401004791,0.1937984496124031,0.248
pair_head_masked_cases_only,masked-masked,254,0.8128992248062016,0.7795275590551181,0.3157941401004791,0.1937984496124031,0.248
baseline_full,masked-unmasked,419,0.7453178400546822,0.6968973747016707,0.32700392603874207,0.3047619047619048,0.3014354066985646
gated_lower_blackout,masked-unmasked,419,0.7460013670539987,0.7136038186157518,0.39526477456092834,0.3047619047619048,0.2679425837320574
gated_lower_blur,masked-unmasked,419,0.7413533834586465,0.7040572792362768,0.30367571115493774,0.3523809523809524,0.23923444976076555
gated_upper_only,masked-unmasked,419,0.7436090225563909,0.711217183770883,0.4199179410934448,0.2523809523809524,0.3253588516746411
pair_head_all_cases,masked-unmasked,419,0.8056960583276372,0.7494033412887828,0.012961245141923428,0.2523809523809524,0.24880382775119617
pair_head_masked_cases_only,masked-unmasked,419,0.8056960583276372,0.7494033412887828,0.012961245141923428,0.2523809523809524,0.24880382775119617
baseline_full,unmasked-unmasked,765,0.9667956465859061,0.9045751633986928,0.497016042470932,0.07427055702917772,0.11597938144329897
gated_lower_blackout,unmasked-unmasked,765,0.9667956465859061,0.9045751633986928,0.497016042470932,0.07427055702917772,0.11597938144329897
gated_lower_blur,unmasked-unmasked,765,0.9667956465859061,0.9045751633986928,0.497016042470932,0.07427055702917772,0.11597938144329897
gated_upper_only,unmasked-unmasked,765,0.9667956465859061,0.9045751633986928,0.497016042470932,0.07427055702917772,0.11597938144329897
pair_head_all_cases,unmasked-unmasked,765,0.9542542864174575,0.8862745098039215,0.03089054673910141,0.14854111405835543,0.07989690721649484
pair_head_masked_cases_only,unmasked-unmasked,765,0.9667956465859061,0.9045751633986928,0.497016042470932,0.07427055702917772,0.11597938144329897
