model,case,pairs,roc_auc,accuracy,threshold,far,frr
baseline_full,masked-masked,142,0.8599557966646575,0.823943661971831,0.4626774787902832,0.1746031746031746,0.17721518987341772
fused_periocular_fixed_0.50,masked-masked,142,0.7781796262808921,0.7394366197183099,0.36040670797228813,0.2698412698412698,0.25316455696202533
fused_periocular_tuned,masked-masked,142,0.6499899537874222,0.6267605633802817,-0.01610229015350345,0.746031746031746,0.0759493670886076
periocular_only,masked-masked,142,0.6013662849105887,0.5985915492957746,-0.20205596089363098,0.8095238095238095,0.0759493670886076
baseline_full,masked-unmasked,266,0.821939496748657,0.7406015037593985,0.4048405885696411,0.09923664122137404,0.4148148148148148
fused_periocular_fixed_0.50,masked-unmasked,266,0.7523890302516256,0.7030075187969925,0.2580895200371742,0.3511450381679389,0.24444444444444444
fused_periocular_tuned,masked-unmasked,266,0.6749222504947695,0.6353383458646616,0.26557161211967467,0.3511450381679389,0.37777777777777777
periocular_only,masked-unmasked,266,0.6357930449533504,0.6052631578947368,0.34442615509033203,0.2900763358778626,0.4962962962962963
baseline_full,unmasked-unmasked,507,0.9818521400778211,0.9329388560157791,0.5375176668167114,0.024,0.10894941634241245
fused_periocular_fixed_0.50,unmasked-unmasked,507,0.9818521400778211,0.9329388560157791,0.5375176668167114,0.024,0.10894941634241245
fused_periocular_tuned,unmasked-unmasked,507,0.9818521400778211,0.9329388560157791,0.5375176668167114,0.024,0.10894941634241245
periocular_only,unmasked-unmasked,507,0.7373540856031129,0.6863905325443787,0.08566588163375854,0.468,0.16342412451361868
